ID,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,type,type_bool,REDSHIFT_SPEC,zphot
SN509279,-49.62496086547556,119.71870173758393,367.63299271593075,-70.69583250337779,80.12933016464756,96.28376325995995,-48.56201744630406,107.44883268992265,-348.6203910334788,149.4413356549588,6.370161305919891,-31.68028429852763,2.679434607937338,-4.555751298125122,49.88427417005166,82.56006052806755,-94.39105380994012,-86.51135398784552,26.77962486612684,-60.88106813992483,Ia,True,0.6553800000000001,0.6646353579200871
SN509387,79.86886983819397,50.89514688502882,630.1382527906679,8.16360418544135,103.76259679600373,142.5556180994442,-65.61755725201266,89.66353202241038,-303.95861169069696,304.1044919170084,-39.19003656023934,-148.95390408957928,-118.38918672452945,138.66021139410554,135.78468858886916,196.6571298369089,-74.45966135588398,-83.87463265924747,25.921586277333088,-63.88657257143545,Ia,True,0.451,0.5955371975186966
SN50950,-261.4594191405867,404.8566362216546,-162.74720957405987,-143.9479254363448,138.6509971769921,-2.6072870370572057,168.33234840693365,49.96099776421339,146.39027054195805,71.90463192366637,76.25398369559129,-14.180215294061735,14.321141604166781,-35.6552021630779,40.663643631820115,76.15933011150335,40.5705508478898,12.18210342715729,27.299124304776583,10.842451601172431,Ia,True,0.5148,0.5277867046712647
SN509630,-375.5008790926666,362.4487715128209,-89.57295729053509,39.401882511187736,103.0423000969738,0.8358551954756444,195.38616835856718,86.17049164974388,89.55168461583153,31.566139331269447,-29.029032465074497,-32.556497378649894,1.640174597576643,-39.88494273381298,-17.53885063587852,32.414132312166046,29.735732809348963,16.959054691063162,8.597078515436975,-1.3324955781649852,Ia,True,0.68329,0.5767426661395765
SN509788,-560.4472978171755,360.7935965406856,-58.47261248817932,-42.22788508520178,91.80106164349556,-71.50117714209041,173.3520476434469,38.386114964223,74.31549102317408,25.47127925669731,51.371117542485564,43.020599213102464,45.12905272800582,-47.89785096383799,18.865166144626645,32.81658351511845,7.165867218663349,12.670261035474011,5.325844382308576,7.495877534805737,Ia,True,0.8226700000000001,0.8431931854160152
SN510187,-365.4490446567214,270.2879654173388,93.98428031531705,-14.474484766383322,-16.468660768107874,159.39468284135708,29.6427069321634,64.89646499736176,-9.709766514753696,39.6760080257099,30.169771412032695,4.843639906867361,82.3192359723332,-24.43748928375713,19.694729223656346,-113.52144238507249,-67.17748783508614,2.648696742944078,42.46685521121734,61.99989724035868,Ia,True,0.88231,0.8116684585042427
SN510284,3000.420409907745,1443.5420782980777,-699.3186818866334,-195.48741968960059,265.4351411073424,495.8294628936443,284.7745758938301,607.1028997525569,1176.468885765267,715.0001244322616,-68.86867377504547,-81.55685356547487,100.2238333401874,101.84520201218683,-122.11174089390418,-387.3013512839541,146.2493972981068,-223.19814668747597,312.38798515739734,-66.7830877092542,Ia,True,0.30365,0.7466112682483141
SN510316,-512.0029583040638,144.06012178848422,-49.05556143842098,-22.210363699436176,41.99431166480134,-29.413690267347647,50.45268376511851,-6.0857674045600465,-42.08920879180975,-12.49728555183588,-30.297069522232345,6.633705373400963,-8.557982287928825,17.594674035152657,-2.930576369876896,51.803621082586325,-18.07946481106593,14.207803168397591,-10.236730012284829,-2.7306679031769425,Ia,True,0.7638199999999999,0.2743404859654833
SN5104,-307.7757444360951,366.1372458055407,-64.00607670778531,-73.39132761061343,110.89857820733339,67.90850471647657,158.2652744321946,125.58660058696047,110.86494901310219,33.92208844427053,11.90949151052509,-73.72716005594552,29.97600115083234,-85.26807945119373,-41.90770705564783,68.24106261844389,9.463557350015641,3.3339353565945453,-18.389095171061346,33.1782178216094,Ia,True,0.7054699999999999,0.887997214055935
SN510845,-444.5109608126019,-26.968273819913634,-169.23866150760801,-20.087803870251673,9.194985928709261,-69.31202417818427,-99.2574728985318,-180.0563906726878,18.237096389924204,-0.6416985247884409,15.695378229511308,19.43667774446943,-12.949315669614743,-31.124258173493896,12.609121415812025,-37.54449408665945,38.125414795083884,-46.3331931396434,-19.42983405909009,5.350802652386368,Ia,True,0.9841700000000001,0.7333713605930637
